timestamp,open,high,low,close,volume,trade_count,vwap
2022-04-28,422.24,429.6,417.6,427.75,2901392,18434,424.926003
2022-04-29,423.61,425.84,411.22,411.91,3563548,20883,416.987945
2022-05-02,412.03,415.87,405.07,414.6,3327180,21495,410.772375
2022-05-03,414.99,418.92,413.39,416.33,1816807,12302,416.189967
2022-05-04,417.07,429.62,413.72,429.08,2997683,19847,421.9012
2022-05-05,424.54,424.61,409.49,414.2,4327815,25192,414.876613
2022-05-06,411.12,414.755,405.73,411.55,2839887,18877,410.118394
2022-05-09,405.1,406.35,396.52,398.26,3073074,19257,400.834904
2022-05-10,404.7,406.075,394.82,399.08,3043393,23079,400.425827
2022-05-11,398.05,403.97,391.99,392.72,2891288,19726,397.370261
2022-05-12,389.52,395.73,385.16,392.39,3669221,25962,389.462012
2022-05-13,396.8,403.17,395.625,401.61,2496868,17694,400.258717
2022-05-16,400.02,403.94,397.62,400.26,2126515,12495,400.620645
2022-05-17,406.5,408.45,402.62,408.32,2344311,16445,406.212873
2022-05-18,403.535,403.78,390.55,391.94,2791976,18292,394.809069
2022-05-19,388.61,394.1,387.205,389.41,2361296,13874,390.392481
2022-05-20,393.28,393.76,380.56,389.59,3193677,20217,386.017097
2022-05-23,392.94,397.7,390.4,396.96,1917353,13982,395.018517
2022-05-24,392.565,395.15,387.06,394.04,2426004,15893,391.121589
2022-05-25,392.31,399.43,391.97,397.4,1743436,13248,395.923937
2022-05-26,398.53,407.03,398.53,405.31,2200921,17326,404.74198
2022-05-27,407.95,415.35,407.77,415.35,2162002,16069,412.420359
2022-05-31,413.595,416.45,410.03,412.96,2083148,16066,413.506475
2022-06-01,415.14,416.24,406.97,409.61,1869336,14427,410.760454
2022-06-02,409.38,417.43,407.07,417.37,2054041,16959,412.995015
2022-06-03,412.45,414.02,409.53,410.51,1882423,14440,411.372559
2022-06-06,414.8,416.58,410.57,411.69,1558059,11535,413.291479
2022-06-07,408.06,416.22,407.64,415.75,1484530,12173,413.096777
2022-06-08,413.87,415.8,410.39,411.3,1624210,13690,412.60546
2022-06-09,409.32,411.71,401.45,401.45,1956316,15212,406.939301
2022-06-10,394.875,395.75,389.76,389.76,2613512,21397,391.786326
2022-06-13,379.89,381.77,373.33,375.08,3778833,27577,377.175308
2022-06-14,376.89,377.91,370.59,373.83,1984160,15124,374.125238
2022-06-15,377.335,383.84,372.14,379.2,3169544,22520,378.203284
2022-06-16,370.51,370.925,364.12,367.08,3220976,21701,366.974029
2022-06-17,365.47,369.38,362.18,365.81,2502209,17580,366.535702
2022-06-21,371.87,376.51,371.83,375.12,1585797,14251,374.922413
2022-06-22,370.57,378.71,370.18,374.33,1541028,12492,375.508092
2022-06-23,376.67,378.815,372.9,378.23,1358761,11549,376.111462
2022-06-24,381.44,390.07,381.37,390.07,2042323,17140,386.993361
2022-06-27,391.06,391.3,387.445,388.67,1379071,11473,389.010265
2022-06-28,390.16,392.995,380.545,380.83,1434998,10428,385.106286
2022-06-29,381.23,382.25,378.45,380.43,1347481,10425,380.345342
2022-06-30,376.29,380.61,372.6,377.285,2090833,15745,376.926183
2022-07-01,376.59,381.67,373.87,381.11,1365163,10850,378.062049
2022-07-05,376.32,381.98,372.91,381.98,1250596,10277,376.933929
2022-07-06,382.105,385.84,379.61,383.31,1333191,10096,382.409573
2022-07-07,385.16,389.82,385.15,388.84,1200997,11328,388.097142
2022-07-08,387.27,390.635,385.72,388.55,1023870,9552,388.624905
2022-07-11,385.85,386.825,383.515,384.19,1055393,8302,384.811001
2022-07-12,383.63,386.11,378.995,380.9,1145027,9805,382.577723
2022-07-13,375.18,381.9,374.66,378.86,1560393,12060,378.812782
2022-07-14,373.61,378.54,371.07,377.955,1449695,10746,375.024529
2022-07-15,382.59,385.245,380.59,384.92,1426821,13566,383.831492
2022-07-18,388.39,389.08,380.68,382.02,1375367,12785,385.669711
2022-07-19,386.18,392.84,385.44,392.17,1603480,14349,390.176843
2022-07-20,392.42,396.25,391.05,394.86,1373750,12136,394.275523
2022-07-21,394.14,398.84,391.67,398.84,1140760,10495,395.658539
2022-07-22,398.79,400.17,392.76,395.13,1518449,15251,395.669502
2022-07-25,395.84,396.44,393.23,395.49,792134,9590,394.932006
2022-07-26,393.72,394.04,389.96,390.79,918302,9717,391.54146
2022-07-27,394.47,402.85,394.09,401.02,2266143,16652,399.299216
2022-07-28,401.88,406.79,398.19,405.92,1633561,15802,403.074172
2022-07-29,407.62,413,406.8,412.13,1387388,11447,411.008057
2022-08-01,409.18,413.39,408.4,410.77,1194335,10526,410.904579
2022-08-02,409.13,412.96,406.9,408.13,1041460,10183,409.730958
2022-08-03,410.3,415.65,410.03,414.39,945100,9154,413.530669
2022-08-04,414.39,415.04,412.505,414.17,754368,6857,414.105046
2022-08-05,409.7,414.13,409.6,413.43,1001026,8387,412.454361
2022-08-08,415.23,417.62,411.89,412.92,997879,8466,415.020404
2022-08-09,412.23,412.67,410.23,411.38,904719,8999,411.233896
2022-08-10,418.78,420.14,416.73,419.82,1238604,9500,419.018659
2022-08-11,423.01,424.94,419.24,420.02,1196335,9869,421.685895
2022-08-12,422.04,427.2,421.08,427.03,956808,9460,425.006946
2022-08-15,424.82,429.34,424.77,428.9,1071259,10780,427.860704
2022-08-16,427.73,431.71,426.895,429.72,889212,9366,429.314272
2022-08-17,425.96,429.48,424.565,426.67,955055,7557,426.717553
2022-08-18,426.86,428.6,425.525,427.82,843759,8369,427.102615
2022-08-19,424.85,425.24,421.245,422.19,1311955,10660,422.720965
2022-08-22,417.04,417.225,412.405,413.41,1506564,13776,414.255567
2022-08-23,412.84,415.405,411.78,412.3,1094373,10489,413.292157
2022-08-24,412.03,415.105,411.47,413.66,820436,7857,413.48442
2022-08-25,415.22,419.56,414.15,419.52,953924,9083,416.987578
2022-08-26,419.46,419.89,405.29,405.35,1616118,11450,410.451273
2022-08-29,402.22,405.82,401.2,402.63,1459284,13862,403.370348
2022-08-30,403.97,404.03,396.01,398.17,1586931,12943,398.551439
2022-08-31,399.92,401.21,395.05,395.11,1484931,12128,397.319771
2022-09-01,392.84,396.78,390.06,396.33,1672423,14485,393.038504
2022-09-02,400.27,401.55,390.335,392.19,2121598,17184,395.2897
2022-09-06,393.15,394.12,388.475,390.83,1205303,10423,391.265108
2022-09-07,390.41,398.55,390.3,397.82,1216815,10486,395.511435
2022-09-08,395.34,400.85,394.17,400.375,1898322,13754,397.965792
2022-09-09,402.74,407.51,402.5,406.51,1405507,11470,405.892879
2022-09-12,408.77,411.71,408.5,411.02,1053304,9447,410.315733
2022-09-13,401.8,403.1,391.93,393.03,2951925,25185,397.104671
2022-09-14,394.44,396.08,391.15,394.53,1111740,10473,393.751617
2022-09-15,392.97,395.92,388.81,390.19,1620604,12398,391.964117
2022-09-16,384.14,386.25,382.11,385.58,1669994,16554,384.278395
2022-09-19,382.27,388.52,382.18,388.515,897971,8070,386.158801
2022-09-20,385.065,386.01,381.21,384.22,1647627,16330,383.731321
2022-09-21,386.12,389.29,377.39,377.39,2085917,14649,383.588059
2022-09-22,376.58,377.66,373.495,374.29,1288498,12577,375.390072
2022-09-23,370.55,370.57,363.3,368.19,2136439,19381,366.672682
2022-09-26,366.42,370.19,363.05,364.33,1847635,14461,365.934073
2022-09-27,368.01,370.38,360.93,363.395,1506076,11332,364.595492
2022-09-28,364.36,372.3,362.63,370.52,2006135,15700,367.745962
2022-09-29,366.81,367.04,359.72,362.76,2229924,18062,362.361042
2022-09-30,361.91,365.82,357.11,357.21,2816620,22029,360.879748
2022-10-03,361.04,368.54,359.335,366.66,1618750,13864,365.424889
2022-10-04,372.42,377.99,372.35,377.99,1487082,12149,376.218514
2022-10-05,373.39,379.44,370.97,377.19,1490642,11117,374.914723
2022-10-06,375.61,378.68,372.68,373.19,1464188,11525,374.716403
2022-10-07,369,369.22,360.945,362.75,1786980,12057,364.259771
2022-10-10,363.97,364.17,357.74,360.08,1239893,9813,360.950967
2022-10-11,358.24,362.98,355.75,357.86,1607080,12255,358.588318
2022-10-12,358.32,359.8,356.33,356.52,1308393,9299,357.977097
2022-10-13,349.21,367.495,348.125,366.08,2869450,14960,360.169918
2022-10-14,368.56,370.23,356.96,357.68,1802519,11708,360.807605
2022-10-17,364,367.97,363.97,366.86,1484072,12875,366.554027
2022-10-18,375.13,375.41,367.56,371.19,1258448,8876,371.182659
2022-10-19,368.33,371.8,365.685,368.53,949998,7220,368.360341
2022-10-20,368.02,372.66,364.62,365.4,1564765,14731,367.768829
2022-10-21,365.12,374.785,363.71,374.3,1582516,12446,371.428339
2022-10-24,375.91,380.04,373.145,378.77,1388193,11584,377.432283
2022-10-25,378.87,385.235,378.78,384.83,1211118,9455,383.302879
2022-10-26,381.62,387.55,381.36,382.13,1585903,13128,383.552249
2022-10-27,383.28,384.93,379.33,380.07,1493070,14747,381.440923
2022-10-28,379.87,389.52,379.695,388.99,1568316,15064,386.505473
2022-10-31,386.4,388.38,385.34,386.22,1745821,14100,386.650703
2022-11-01,390.145,390.37,383.39,384.51,1294546,9738,385.762307
2022-11-02,383.97,388.61,374.96,375.02,2467552,15965,381.587949
2022-11-03,371.41,374.2,368.82,371.035,1643995,13925,371.953569
2022-11-04,377,378.75,370.06,376.14,1658118,12290,374.218854
2022-11-07T05:00:00Z,377.83,380.56,375.53,380.01,1250909,9820,378.471888
2022-11-08T05:00:00Z,381.11,385.12,377.73,381.93,1721182,12257,381.922674
2022-11-09T05:00:00Z,379.87,381.13,373.63,374.17,1329373,10196,377.064948
2022-11-10T05:00:00Z,388.01,395.035,385.67,394.485,2435337,18479,391.248462
2022-11-11T05:00:00Z,395.65,399.35,393.66,398.5,1448532,16030,397.109506
2022-11-14T05:00:00Z,396.67,400.17,394.855,394.92,1002684,8447,397.5516
2022-11-15T05:00:00Z,401.15,402.29,394.57,398.53,1826755,15381,398.853951
2022-11-16T05:00:00Z,396.75,397.68,394.88,395.51,1240798,9696,396.031552
2022-11-17T05:00:00Z,390.48,394.92,390.16,394.32,1403944,9648,392.277058
2022-11-18T05:00:00Z,397.7,397.7,393.07,396.23,1175909,9111,395.24767
2022-11-21T05:00:00Z,394.665,395.71,392.8,394.56,897412,8706,394.479126
2022-11-22T05:00:00Z,396.65,400.055,395.22,399.87,990774,9512,398.241462
2022-11-23T05:00:00Z,399.56,402.93,399.33,402.24,1040098,9526,401.545316
2022-11-25T05:00:00Z,401.85,402.89,401.575,402.26,354072,4072,402.280544
2022-11-28T05:00:00Z,399.095,400.78,395.125,395.9,987539,11394,397.417043
2022-11-29T05:00:00Z,396.05,397.26,393.35,395.325,905449,7984,395.157478
2022-11-30T05:00:00Z,395.495,407.53,393.575,407.45,2347320,13739,401.107713
2022-12-01T05:00:00Z,408.79,409.96,404.77,407.41,1340246,12108,407.406716
2022-12-02T05:00:00Z,402.295,407.83,402.295,406.855,1198086,10684,404.91812
2022-12-05T05:00:00Z,403.83,404.91,398.18,399.61,1595237,14179,400.999157
2022-12-06T05:00:00Z,399.41,399.99,391.665,393.93,1213050,11136,394.509073
2022-12-07T05:00:00Z,392.83,395.62,392.04,393.11,905487,8569,393.390365
2022-12-08T05:00:00Z,395.05,397.34,393.59,396.135,1050916,8642,395.848115
2022-12-09T05:00:00Z,394.94,397.6,393.165,393.295,1051349,9922,395.485725
2022-12-12T05:00:00Z,394.11,398.91,393.42,398.905,986494,8574,396.055991
2022-12-13T05:00:00Z,410.3,410.31,399.11,402.03,1730605,13663,403.958066
2022-12-14T05:00:00Z,401.63,405.36,396.33,399.39,1636933,12997,401.317328
2022-12-15T05:00:00Z,394.33,395.205,387.915,389.81,2089252,16718,390.052484
2022-12-16T05:00:00Z,385.16,386.49,381.08,383.35,1699530,14496,383.420482
2022-12-19T05:00:00Z,383.535,383.78,378.305,380,979700,10733,380.522579
2022-12-20T05:00:00Z,379.18,382.195,377.865,380.49,612906,6310,380.416928
2022-12-21T05:00:00Z,383.27,387.365,382.735,386.13,705913,7141,385.53829
2022-12-22T05:00:00Z,383.01,383.365,374.77,380.73,1432802,13667,378.835911
2022-12-23T05:00:00Z,379.66,383.04,378.06,382.75,666399,9185,381.281148
2022-12-27T05:00:00Z,382.88,383.075,379.67,381.335,609727,10235,381.533104
2022-12-28T05:00:00Z,381.33,383.33,376.51,376.69,918689,11861,378.973416
2022-12-29T05:00:00Z,379.69,384.34,379.12,383.37,1118483,11648,382.986937
2022-12-30T05:00:00Z,380.66,382.57,378.44,382.47,933670,9571,380.458101
2023-01-03T05:00:00Z,384.33,386.425,377.89,380.92,1210981,10605,381.028394
2023-01-04T05:00:00Z,383.2,385.82,380.05,383.75,1313126,12106,383.267016
2023-01-05T05:00:00Z,381.56,381.83,378.8,379.34,1041106,9828,380.045589
2023-01-06T05:00:00Z,382.71,389.24,379.56,388.01,1593344,14524,386.225243
2023-01-09T05:00:00Z,390.375,393.64,387.67,387.9,930814,12268,390.839381
2023-01-10T05:00:00Z,387.21,390.63,386.28,390.6,835820,11158,389.09566
2023-01-11T05:00:00Z,392.38,395.59,391.48,395.55,963241,9867,393.703735
2023-01-12T05:00:00Z,396.74,398.46,392.46,397.03,1081572,11479,396.199477
2023-01-13T05:00:00Z,393.65,399.08,393.38,398.49,833579,11669,396.839622
2023-01-17T05:00:00Z,398.52,400.19,397.1,397.75,861542,10999,398.235019
2023-01-18T05:00:00Z,399.14,400.1,391.3,391.59,1636291,13330,394.160725
2023-01-19T05:00:00Z,389.16,391.06,387.3,388.57,1224701,12302,389.26785
2023-01-20T05:00:00Z,389.95,396.03,388.42,395.89,1232221,12531,392.955109
2023-01-23T05:00:00Z,396.82,402.635,395.74,400.59,1240802,13319,400.077897
2023-01-24T05:00:00Z,398.88,401.145,397.72,400.21,804302,9389,399.839221
2023-01-25T05:00:00Z,395.83,400.68,393.59,400.245,1223209,13043,397.426913
2023-01-26T05:00:00Z,403.21,404.91,400.04,404.75,1024840,12242,402.661288
2023-01-27T05:00:00Z,403.73,408.145,403.485,405.68,1154808,12096,406.106561
2023-01-30T05:00:00Z,402.745,405.1,400.305,400.63,1351155,14100,402.20673
2023-01-31T05:00:00Z,401.12,406.51,400.86,406.5,1102712,11911,403.980586
2023-02-01T05:00:00Z,405.1,413.65,402.39,410.65,1473487,13663,407.27026
2023-02-02T05:00:00Z,414.85,418.27,412.89,416.73,1588666,17426,415.626643
2023-02-03T05:00:00Z,411.55,416.91,411.125,412.31,1127556,12938,413.604413
2023-02-06T05:00:00Z,409.82,411.23,408.11,409.95,759146,9927,409.958736
2023-02-07T05:00:00Z,408.89,416.49,407.74,415.25,1295710,12575,411.90294
2023-02-08T05:00:00Z,413.15,414.53,409.97,410.7,1526958,14426,411.461177
2023-02-09T05:00:00Z,414.5,414.55,405.89,407.15,1545776,16275,409.381942
2023-02-10T05:00:00Z,405.94,408.44,405.045,408.01,1082160,12146,407.003091
2023-02-13T05:00:00Z,408.76,412.96,408.24,412.74,888501,10657,411.688725
2023-02-14T05:00:00Z,411.24,415.02,408.52,412.72,1157809,11979,412.07961
2023-02-15T05:00:00Z,410.44,413.955,409.785,413.955,821878,10210,412.120701
2023-02-16T05:00:00Z,408.82,412.91,408.2,408.27,1163982,11785,410.437831
2023-02-17T05:00:00Z,405.97,407.49,404.075,407.255,1227607,13545,405.875165
2023-02-21T05:00:00Z,403.1,404.075,398.83,399.06,1516566,15519,400.429589
2023-02-22T05:00:00Z,399.51,401.13,397.03,398.53,1170602,12056,398.916009
2023-02-23T05:00:00Z,401.53,402.2,396.29,400.6,1399412,11958,399.524615
2023-02-24T05:00:00Z,395.4,397.235,393.69,396.44,1237939,12701,395.431669
2023-02-27T05:00:00Z,399.92,401.21,396.77,397.695,874279,9968,398.738538
2023-02-28T05:00:00Z,397.29,399.23,396.26,396.26,1008867,11621,397.667413
2023-03-01T05:00:00Z,395.38,396.675,393.4,394.715,1054008,10160,394.974195
2023-03-02T05:00:00Z,392.69,398.685,392.37,397.83,1345473,14689,395.396432
